AssetID,AssetName,Price
1,Spaghetti Sauce,2.99
2,Gingerbread House Kit,6.99
3,Fitness Resistance Bands,29.99
4,Pineapple Salsa,4.29
5,Portable Solar Path Lights,39.99
6,LED Christmas Tree Lights,34.99
7,Frozen Broccoli,2.49
8,Frozen Berry Blend,4.99
9,Compost Bin,29.99
10,Personal Blender with Travel Lid,34.99
11,Rustic Wooden Picture Frame,19.99
12,Solar Garden Lights,39.99
13,Wooden Kitchen Utensil Set,19.99
14,Digital Drawing Tablet,79.99
15,Balsamic Glaze,4.79
16,Compact Portable Grill,79.99
17,Mixed Nuts,5.99
18,Kids' Outdoor Explorer Kit,24.99
19,Fitness Resistance Bands,29.99
20,Garlic Parmesan Roasted Nuts,4.89
21,Vegetable Quinoa Bowl,5.99
22,Coconut Chia Seed Pudding,2.99
23,V-Neck Sweater,49.99
24,Free-Range Eggs,3.99
25,Savory Snack Mix,4.49
26,Workstation Laptop Stand,49.99
27,Fashionable Belt Bag,34.99
28,Frozen Chicken Nuggets,4.49
29,Beef Chili,4.5
30,LED Strip Lights,19.99
31,Beef Sirloin Steak,15.99
32,Savory Quinoa Pudding,2.99
33,Beach Cover-Up,29.99
34,Chocolate Raspberry Tart,9.99
35,Berries Medley,6.99
36,Portable Blender,30
37,Classic Vanilla Fudge,4.49
38,Coconut Chia Seed Pudding,2.99
39,Sun-Dried Tomatoes,3.99
40,Lentil Vegetable Curry,4.49
41,Grapes (red),3.49
42,French Bread,2.49
43,Spicy Hummus,3.49
44,Compact Umbrella,12.99
45,Hair Dryer,39.99
46,Sriracha Chili Sauce,2.79
47,DIY Lip Balm Kit,22.99
48,Trendy Bomber Jacket,69.99
49,Multicolored LED Strip Lights,29.99
50,Blue Denim Jeans,49.99
51,Peach Mango Smoothie Mix,5.99
52,Artisan Pickles,2.49
53,Nutty Quinoa Salad,4.99
54,Comfort Flats,44.99
55,Cotton Tote Bag Set,29.99
56,Pepperoni Pizza Roll-Ups,5.99
57,Stainless Steel Straws,12.99
58,Non-Stick Baking Sheet,18.99
59,Stainless Steel Grater,14.99
60,Jasmine Rice,2.39
61,Electric Skillet,49.99
62,Induction Cooktop,89.99
63,Vegetarian Stir Fry Sauce,2.49
64,Honey Garlic Sauce,2.59
65,Ramen Noodles,0.99
66,Teriyaki Chicken Bowl,6.49
67,Peanut Butter Chocolate Chip Bars,4.59
68,Honeycrisp Apples,1.89
69,Running Shorts,34.99
70,Peach Preserves,3.79
71,Electric Toothbrush Holder,14.99
72,Kids Tablet,129.99
73,Oven Thermometer,11.99
74,Spinach Pizza Rolls,4.99
75,Wire Shelving Unit,69.99
76,Whole Grain Cereal,3.49
77,Snap-On Tupperware Set,34.99
